Nombre,Precio,Valoracion,Tienda,Fecha
"Portátil Lenovo V14 G5 IRL 14"" Intel Core i5-13420H 8GB 512GB SSD UHD Graphics Windows 11 Home",579.0,,PcComponentes,2026-04-17
"Portátil DELL Pro 15 Essential PV15250 15.6"" Intel Core i5-1334U 8GB 512GB SSD Windows 11 Home Negro",505.95,,PcComponentes,2026-04-17
"HP 15-fc0180ns 15.6"" AMD Ryzen 3 7320U 8GB 512GB SSD Radeon Graphics Windows 11 Plata",439.0,,PcComponentes,2026-04-17
"Portátil Acer TravelMate X4 14 AI 14"" Intel Core Ultra 5 226V 16GB 512GB SSD Intel Arc Graphics 130V Windows 11 Pro",1089.0,N/A,PcComponentes,2026-04-17
"Apple MacBook Neo 13"" Apple A18 Pro 8GB 256 GB SSD GPU 5 núcleos macOS Rosa Nube",699.0,,PcComponentes,2026-04-17
"Portátil Acer Aspire Go 15 AG15-42P-R7GF 15,6″ AMD Ryzen 7 5825U 16GB SSD 512GB Windows 11 Plata",579.0,"4,5/5",PcComponentes,2026-04-17
Acer Gaming Predator Helios Neo 16 AI PHN16-73 Intel Core Ultra 9 275HX/32GB/1TB SSD/RTX 5070Ti,2049.0,"4,5/5",PcComponentes,2026-04-17
"Portatil HP EliteBook 6 G1a 14"" AMD Ryzen 7 250 16GB 512GB SSD AI Wolf Pro Security Windows 11 Pro",1088.0,N/A,PcComponentes,2026-04-17
"Portátil MSI Katana 17 HX B14WFK-082XES 17.3"" Intel Core i9-14900HX 32GB 1TB SSD RTX 5060 FreeDOS RGB",1658.99,"4,5/5",PcComponentes,2026-04-17
"HP Victus 15-fa2005ns 15.6"" Intel Core 7 240H 16GB 1TB SSD RTX 5060 Windows 11 Home",1099.0,"4,5/5",PcComponentes,2026-04-17
"Portátil Acer Aspire 14 AI A14-61M 14"" AMD Ryzen AI 5 330 16GB 512GB SSD Radeon Graphics Windows 11 Home",649.0,N/A,PcComponentes,2026-04-17
"Portátil Alurin Flex Advance AMD Ryzen 7 5825U/32GB/1TB SSD/15.6""",599.99,,PcComponentes,2026-04-17
"Asus Vivobook 15 OLED AMD Ryzen 7 7730U/16GB/1TB SSD/15.6"" (PT)",499.0,,PcComponentes,2026-04-17
"Portátil HP OmniBook 3 16-bu0062ns 16"" Intel Core 3 100U 8GB SSD Intel Graphics FreeDOS",454.98,N/A,PcComponentes,2026-04-17
